dataset,neuron,tpm_min,pct_max,N,K,n,k,bg_frac,obs_frac,enrichment,p_hypergeom,q_bh,sig_bh
Ghaddar (adult),CAN,1,0.05,20222,5833,40,16,0.288448,0.4,1.3867,0.085867,0.298275,False
Ghaddar (adult),CAN,1,0.1,20222,5109,40,15,0.252646,0.375,1.4843,0.058864,0.265255,False
Ghaddar (adult),CAN,1,0.2,20222,4098,40,13,0.202651,0.325,1.6037,0.047324,0.260284,False
Ghaddar (adult),CAN,1,0.33,20222,3182,40,12,0.157353,0.3,1.9065,0.017089,0.161129,False
Ghaddar (adult),CAN,1,0.5,20222,2298,40,10,0.113639,0.25,2.2,0.012141,0.161129,False
Ghaddar (adult),HSN,1,0.01,20222,9398,40,23,0.464741,0.575,1.2372,0.107448,0.322345,False
Ghaddar (adult),HSN,1,0.05,20222,8205,40,20,0.405746,0.5,1.2323,0.146101,0.401778,False
Ghaddar (adult),HSN,1,0.1,20222,6689,40,15,0.330778,0.375,1.1337,0.329356,0.565872,False
Ghaddar (adult),HSN,1,0.2,20222,4272,40,7,0.211255,0.175,0.8284,0.770104,0.833227,False
Ghaddar (adult),HSN,1,0.33,20222,2242,40,4,0.110869,0.1,0.902,0.661396,0.779289,False
Ghaddar (adult),HSN,1,0.5,20222,870,40,2,0.043022,0.05,1.1622,0.51831,0.670754,False
Ghaddar (adult),NSM,1,0.01,20222,4743,40,11,0.234547,0.275,1.1725,0.328406,0.565872,False
Ghaddar (adult),NSM,1,0.05,20222,4537,40,11,0.22436,0.275,1.2257,0.273771,0.534886,False
Ghaddar (adult),NSM,1,0.1,20222,4206,40,11,0.207991,0.275,1.3222,0.19449,0.475419,False
Ghaddar (adult),NSM,1,0.2,20222,3506,40,7,0.173376,0.175,1.0094,0.554222,0.698741,False
Ghaddar (adult),NSM,1,0.33,20222,2671,40,6,0.132084,0.15,1.1356,0.437,0.627,False
Ghaddar (adult),NSM,1,0.5,20222,1855,40,5,0.091732,0.125,1.3627,0.30347,0.556362,False
Ghaddar (adult),RIC,1,0.01,20222,9563,40,25,0.472901,0.625,1.3216,0.038209,0.232346,False
Ghaddar (adult),RIC,1,0.05,20222,8201,40,21,0.405548,0.525,1.2945,0.084918,0.298275,False
Ghaddar (adult),RIC,1,0.1,20222,6525,40,17,0.322668,0.425,1.3171,0.113297,0.325114,False
Ghaddar (adult),RIC,1,0.2,20222,3836,40,12,0.189694,0.3,1.5815,0.062717,0.265255,False
Ghaddar (adult),RIC,1,0.33,20222,1729,40,5,0.085501,0.125,1.462,0.254338,0.534886,False
Ghaddar (adult),RIC,1,0.5,20222,635,40,1,0.031401,0.025,0.7961,0.721254,0.806826,False
Ghaddar (adult),RIH,1,0.01,20222,8312,40,17,0.411037,0.425,1.034,0.488679,0.658038,False
Ghaddar (adult),RIH,1,0.05,20222,7348,40,15,0.363367,0.375,1.032,0.498514,0.658038,False
Ghaddar (adult),RIH,1,0.1,20222,6008,40,14,0.297102,0.35,1.178,0.282622,0.534886,False
Ghaddar (adult),RIH,1,0.2,20222,3835,40,8,0.189645,0.2,1.0546,0.496882,0.658038,False
Ghaddar (adult),RIH,1,0.33,20222,1991,40,2,0.098457,0.05,0.5078,0.915234,0.929314,False
Ghaddar (adult),RIH,1,0.5,20222,759,40,0,0.037533,0.0,0.0,1.0,1.0,False
Ghaddar (adult),RIM,1,0.01,20222,7806,40,17,0.386015,0.425,1.101,0.361404,0.567921,False
Ghaddar (adult),RIM,1,0.05,20222,6984,40,16,0.345366,0.4,1.1582,0.283652,0.534886,False
Ghaddar (adult),RIM,1,0.1,20222,5870,40,13,0.290278,0.325,1.1196,0.370142,0.568125,False
Ghaddar (adult),RIM,1,0.2,20222,3935,40,7,0.19459,0.175,0.8993,0.68483,0.779289,False
Ghaddar (adult),RIM,1,0.33,20222,2287,40,5,0.113095,0.125,1.1053,0.478401,0.658038,False
Ghaddar (adult),RIM,1,0.5,20222,1065,40,3,0.052665,0.075,1.4241,0.352896,0.567921,False
Ghaddar (adult),RIR,1,0.01,20222,8636,40,25,0.42706,0.625,1.4635,0.009127,0.161129,False
Ghaddar (adult),RIR,1,0.05,20222,7503,40,22,0.371032,0.55,1.4824,0.015873,0.161129,False
Ghaddar (adult),RIR,1,0.1,20222,6113,40,18,0.302295,0.45,1.4886,0.034244,0.232346,False
Ghaddar (adult),RIR,1,0.2,20222,3847,40,12,0.190238,0.3,1.577,0.063879,0.265255,False
Ghaddar (adult),RIR,1,0.33,20222,2057,40,11,0.101721,0.275,2.7035,0.001668,0.110105,False
Ghaddar (adult),RIR,1,0.5,20222,903,40,4,0.044654,0.1,2.2394,0.101822,0.320011,False
Ghaddar (adult),ASI,1,0.01,20222,9779,40,28,0.483582,0.7,1.4475,0.004594,0.151606,False
Ghaddar (adult),ASI,1,0.05,20222,8410,40,24,0.415884,0.6,1.4427,0.014345,0.161129,False
Ghaddar (adult),ASI,1,0.1,20222,6901,40,20,0.341262,0.5,1.4651,0.027609,0.227776,False
Ghaddar (adult),ASI,1,0.2,20222,4441,40,8,0.219612,0.2,0.9107,0.678056,0.779289,False
Ghaddar (adult),ASI,1,0.33,20222,2388,40,3,0.118089,0.075,0.6351,0.866791,0.908067,False
Ghaddar (adult),ASI,1,0.5,20222,1074,40,3,0.05311,0.075,1.4122,0.357842,0.567921,False
Ghaddar (adult),VC_4_5,1,0.01,20222,6893,40,16,0.340866,0.4,1.1735,0.263364,0.534886,False
Ghaddar (adult),VC_4_5,1,0.05,20222,6287,40,15,0.310899,0.375,1.2062,0.236969,0.534886,False
Ghaddar (adult),VC_4_5,1,0.1,20222,5579,40,12,0.275888,0.3,1.0874,0.424646,0.622814,False
Ghaddar (adult),VC_4_5,1,0.2,20222,4196,40,11,0.207497,0.275,1.3253,0.192291,0.475419,False
Ghaddar (adult),VC_4_5,1,0.33,20222,2769,40,8,0.13693,0.2,1.4606,0.173132,0.457069,False
Ghaddar (adult),VC_4_5,1,0.5,20222,1477,40,4,0.073039,0.1,1.3691,0.334379,0.565872,False
Ghaddar (adult),ADF,10,0.01,20222,6509,40,13,0.321877,0.325,1.0097,0.542516,0.799723,False
Ghaddar (adult),ADF,10,0.05,20222,6045,40,11,0.298932,0.275,0.9199,0.686271,0.836856,False
Ghaddar (adult),ADF,10,0.1,20222,5348,40,6,0.264464,0.15,0.5672,0.972163,0.987119,False
Ghaddar (adult),ADF,10,0.2,20222,3878,40,6,0.191771,0.15,0.7822,0.80593,0.878148,False
Ghaddar (adult),ADF,10,0.33,20222,2346,40,4,0.116012,0.1,0.862,0.69738,0.836856,False
Ghaddar (adult),ADF,10,0.5,20222,1153,40,3,0.057017,0.075,1.3154,0.401047,0.799723,False
Ghaddar (adult),AVM,10,0.01,20222,5827,40,12,0.288152,0.3,1.0411,0.493685,0.799723,False
Ghaddar (adult),AVM,10,0.05,20222,5421,40,12,0.268074,0.3,1.1191,0.381065,0.799723,False
Ghaddar (adult),AVM,10,0.1,20222,4798,40,9,0.237266,0.225,0.9483,0.632687,0.835146,False
Ghaddar (adult),AVM,10,0.2,20222,3178,40,5,0.157156,0.125,0.7954,0.775204,0.878148,False
Ghaddar (adult),AVM,10,0.33,20222,1559,40,2,0.077094,0.05,0.6486,0.824927,0.878148,False
Ghaddar (adult),AVM,10,0.5,20222,476,40,1,0.023539,0.025,1.0621,0.614702,0.827972,False
Ghaddar (adult),CAN,10,0.01,20222,5550,40,17,0.274454,0.425,1.5485,0.028594,0.373054,False
Ghaddar (adult),CAN,10,0.05,20222,5200,40,15,0.257146,0.375,1.4583,0.067334,0.404001,False
Ghaddar (adult),CAN,10,0.1,20222,4798,40,15,0.237266,0.375,1.5805,0.03571,0.373054,False
Ghaddar (adult),CAN,10,0.2,20222,3997,40,13,0.197656,0.325,1.6443,0.039566,0.373054,False
Ghaddar (adult),CAN,10,0.33,20222,3142,40,12,0.155375,0.3,1.9308,0.015544,0.341974,False
Ghaddar (adult),CAN,10,0.5,20222,2278,40,10,0.11265,0.25,2.2193,0.011449,0.341974,False
Ghaddar (adult),HSN,10,0.01,20222,6275,40,12,0.310306,0.3,0.9668,0.614706,0.827972,False
Ghaddar (adult),HSN,10,0.05,20222,5944,40,11,0.293937,0.275,0.9356,0.661428,0.836856,False
Ghaddar (adult),HSN,10,0.1,20222,5359,40,11,0.265008,0.275,1.0377,0.503003,0.799723,False
Ghaddar (adult),HSN,10,0.2,20222,3857,40,6,0.190733,0.15,0.7864,0.801439,0.878148,False
