mesh,x,y,z,cls,interpolated,y_um,d_nn_um,d_nn_bl,pde_shared_zone
NSML,-0.0631487779319286,-2.8793208599090576,0.5012302845716476,NSM,False,-330.5460347175598,64.45846512104595,0.5614848878139891,False
NSML,-0.0578680019825696,-2.87920880317688,0.5308755785226822,NSM,False,-330.5331706047058,65.02880816793677,0.5664530328217489,False
NSML,0.0054412866011261,-2.8791698813438416,0.4739249870181083,NSM,False,-330.528702378273,64.06138351787887,0.5580259888316974,False
NSML,-0.0602293033152818,-2.8791491985321045,0.5016521289944649,NSM,False,-330.5263279914856,64.44763279278304,0.5613905295538593,False
NSML,0.0240082461386919,-2.8790940046310425,0.5028221309185028,NSM,False,-330.51999173164364,64.46197984673091,0.5615155038913843,False
NSML,0.0270864306949079,-2.8790940046310425,0.5026209950447083,NSM,False,-330.51999173164364,64.45698921256958,0.5614720314683762,False
NSML,0.0275268834084272,-2.8787999153137207,0.5057409703731537,NSM,False,-330.4862302780151,64.4776704722539,0.5616521818140584,False
NSML,0.0243451511487364,-2.8787999153137207,0.5057409703731537,NSM,False,-330.4862302780151,64.4790310225194,0.5616640332972073,False
NSML,0.0168835865333676,-2.8786051869392395,0.4848704114556312,NSM,False,-330.4638754606247,64.13106136210006,0.5586329386942513,False
NSML,-0.0551565866917371,-2.878522276878357,0.4857430532574653,NSM,False,-330.4543573856354,64.13238301070137,0.5586444513127298,False
NSML,0.0259360168129205,-2.878502130508423,0.5073028206825256,NSM,False,-330.4520445823669,64.47215748557606,0.5616041592820215,False
NSML,-0.0632100831717252,-2.878100752830506,0.5188008844852448,NSM,False,-330.40596642494205,64.64508205848152,0.5631104708926962,False
NSML,-0.0604019612073898,-2.877929091453552,0.518023818731308,NSM,False,-330.3862596988677,64.61170661250735,0.562819744011388,False
NSML,0.0231785899959504,-2.8778544068336487,0.4961354658007622,NSM,False,-330.37768590450287,64.21134024479268,0.5593322320974973,False
NSML,-0.05905781686306,-2.8775113821029663,0.5319008827209473,NSM,False,-330.33830666542053,64.86169170435241,0.5649973144978433,False
NSML,-0.0617910725995898,-2.877451777458191,0.5014444068074226,NSM,False,-330.3314640522003,64.25043130059242,0.55967274652084,False
NSML,-0.0568086821585893,-2.877339720726013,0.5300064980983734,NSM,False,-330.3185999393463,64.79853278548897,0.5644471496993814,False
NSML,0.0255269305780529,-2.87728500366211,0.5023876875638962,NSM,False,-330.3123184204102,64.24819156396791,0.5596532366199295,False
NSML,-0.0533117111772298,-2.8771989941596985,0.5356509238481522,NSM,False,-330.3024445295334,64.91338041222718,0.5654475645664389,False
NSML,-0.061897044070065,-2.8762316703796387,0.5184557437896729,NSM,False,-330.1913957595825,64.42748642085846,0.56121503850922,False
NSML,-0.0545410756021738,-2.8759260773658752,0.5370807200670242,NSM,False,-330.15631368160246,64.80387149186063,0.5644936541102843,False
NSML,-0.0536651350557804,-2.875777244567871,0.5344144552946091,NSM,False,-330.1392276763916,64.72438778948626,0.5638012873648629,False
NSML,-0.0579984970390796,-2.8756422996520996,0.5310318022966385,NSM,False,-330.123736000061,64.63102912541048,0.562988058583715,False
NSML,-0.0548944994807243,-2.874504327774048,0.5358442515134811,NSM,False,-329.9930968284607,64.61465572443244,0.5628454331396554,False
NSML,-0.0486366730183362,-2.870111107826233,0.5346555709838867,NSM,False,-329.4887551784515,64.09311933237473,0.5583024332088391,False
NSML,-0.0503685846924781,-2.8697094917297363,0.5332642197608948,NSM,False,-329.44264965057374,64.01606045915811,0.5576311886686247,False
NSML,-0.0502204913645982,-2.8695420622825623,0.5362430214881897,NSM,False,-329.4234287500381,64.06783596249477,0.5580821947952506,False
NSML,-0.0519524030387401,-2.8691404461860657,0.5348516702651978,NSM,False,-329.3773232221603,63.99016808616337,0.5574056453498551,False
