mesh,cx,cy,cz,n_verts
mu_bod_DL20,0.06335235038893906,1.8570218733207664,0.4254881917831287,199
mu_bod_DL21,0.1660938564259394,2.4369631003489536,0.1879401409883151,113
mu_bod_DL22,0.051762488521429714,2.718453050318344,0.17070676084834238,181
mu_bod_DL23,0.11009521054586878,3.4138832997392723,0.049781114973248566,216
mu_bod_DL24,0.03247359976647239,3.5899936229574916,0.08783456044015932,204
mu_bod_DL3,0.0971518552816305,-2.8715364385823734,0.5738614694994004,61
mu_bod_DL4,0.026184474266525627,-2.973948914071788,0.6300473066343777,69
mu_bod_DL5,0.13578043468296527,-2.4226266980171203,0.44576187878847123,100
mu_bod_DL6,0.0374946055721633,-2.6745845335948317,0.5820861383329464,79
mu_bod_DL7,0.17028417155660433,-1.8988816450382102,0.1783652395202682,87
mu_bod_DL8,0.05275470254321893,-2.275231570005417,0.4466557207206885,120
mu_bod_DL9,0.17135975595596617,-1.337146094942515,-0.14268918203569092,113
mu_bod_DR1,-0.0922552988642738,-3.2227710133507137,0.6078848589034308,105
mu_bod_DR10,-0.07544485329426537,-1.7472994346027226,0.15676963807249716,129
mu_bod_DR11,-0.19052275158135237,-0.6819027980080749,-0.2779296925373837,113
mu_bod_DR12,-0.07677563519188851,-1.102127015951908,-0.15754224703167424,165
mu_bod_DR13,-0.19964532862449513,-0.08635670222855847,-0.09423009398789413,87
mu_bod_DR14,-0.08172580544032207,-0.3889476637146911,-0.1392657300584069,147
mu_bod_DR15,-0.19814535557366103,0.6026733653258076,0.24335408308576767,139
mu_bod_DR16,-0.08519623053519904,0.2981691459497931,0.18591560030571458,147
mu_bod_DR17,-0.18757768370936403,1.3663516060440941,0.4180652027109028,113
mu_bod_DR18,-0.08039859972574229,1.0246036904721172,0.45566763157493495,163
mu_bod_DR19,-0.18800959937475822,1.9052695068153176,0.35395332083508774,74
mu_bod_DR2,-0.05195443581245589,-3.2498388424348295,0.6429013784012098,89
mu_bod_DR20,-0.07924208784865779,1.8959064999292063,0.4160710007645363,215
mu_bod_DR21,-0.17612888703567792,2.436972938807665,0.18961855080143541,113
mu_bod_DR22,-0.06519576701340754,2.796804273984709,0.15132715888527218,181
mu_bod_DR23,-0.12088653724640608,3.414928623923549,0.051155088177269874,216
mu_bod_DR24,-0.043815267024601395,3.629621702305814,0.09019329912088653,188
mu_bod_DR3,-0.1229846714461436,-2.8754220126105134,0.575650372466103,61
mu_bod_DR4,-0.055546784584504974,-2.9775625346363457,0.6316160516462465,69
mu_bod_DR5,-0.1495573305338621,-2.426321783065796,0.44759372040629386,100
mu_bod_DR6,-0.05503235158861661,-2.715941315791646,0.5929819848693785,61
mu_bod_DR7,-0.18157875066858598,-1.9022758349604991,0.18032907418392854,87
mu_bod_DR8,-0.06387005897082446,-2.3115995385264623,0.4610176903145914,131
mu_bod_DR9,-0.18270897107050482,-1.3401105920825385,-0.14124511400715703,113
mu_bod_VL1,0.055548592410776594,-3.2306224074932413,0.519259295879154,109
mu_bod_VL10,0.03756168442758131,-1.7010349241686074,-0.32135013307069804,231
mu_bod_VL11,0.17749938594047412,-0.7028140520402627,-0.5635508712410002,129
mu_bod_VL12,0.03730060297688703,-1.0680674572999331,-0.5954081701335087,279
mu_bod_VL13,0.18800811376422644,-0.07305880164494738,-0.4222466319001147,112
mu_bod_VL14,0.04084199801087379,-0.40164057807827536,-0.60128416093913,275
mu_bod_VL15,0.18413625299930572,0.6106379223863284,-0.07795421805101796,150
mu_bod_VL16,0.05589735683502327,0.1770871481029268,-0.3976694829957023,191
mu_bod_VL17,0.17597106214560254,1.3919323653402462,0.12268358302420714,142
mu_bod_VL18,0.051370207270488195,0.9824838351320337,0.007051226750379961,297
mu_bod_VL19,0.17786707574637925,1.963180008457928,0.039541719328021495,82
mu_bod_VL2,0.013434608272560265,-3.2434856103814167,0.48841175488803695,115
mu_bod_VL20,0.040097555399854205,1.864933128476475,-0.015755915147035764,359
mu_bod_VL21,0.16288987972906657,2.462762604866709,-0.10093190780441676,112
mu_bod_VL22,0.03373022988981226,2.732550391963884,-0.2060695281591402,357
mu_bod_VL23,0.1103200544603169,3.386202210187912,-0.13731646227339903,240
mu_bod_VL24,-0.053641687127503945,-0.1021933728393088,-0.30541983056575694,188
mu_bod_VL3,0.10068135139708584,-2.8473090706644832,0.38518853525857666,74
mu_bod_VL4,0.025678168084206327,-2.9639175023351396,0.3844131486756461,56
mu_bod_VL5,0.13917919265470285,-2.4024872944272797,0.19049407670210147,87
mu_bod_VL6,0.03698528312806842,-2.6950198789186115,0.27644388528564307,79
mu_bod_VL7,0.1697984514222748,-1.921991995011253,-0.107765417460395,87
mu_bod_VL8,0.056471089949878324,-2.233346104621887,0.028814574893360503,119
mu_bod_VL9,0.17025891853164332,-1.3603772830593495,-0.4270568967096565,129
mu_bod_VR1,-0.09283614852556996,-3.228205540600945,0.5206395390571332,102
mu_bod_VR10,-0.05892060914812567,-1.6671469059164665,-0.3408877632865623,219
mu_bod_VR11,-0.18806593785328524,-0.7496602117483105,-0.5649102045489209,112
mu_bod_VR12,-0.05744192075594377,-1.0721121258021231,-0.5925270293024775,287
mu_bod_VR13,-0.19788902420406193,-0.11207346050898985,-0.43259505269139314,129
mu_bod_VR14,-0.061116797829216175,-0.4017935966378586,-0.5989283918250691,275
mu_bod_VR15,-0.19390986820062,0.6096608987947305,-0.07604663314297795,150
mu_bod_VR16,-0.07350899222555585,0.20499099001619983,-0.3813286307438506,191
mu_bod_VR17,-0.18590712246968766,1.3449092183926308,0.1276297707457182,129
mu_bod_VR18,-0.06787457800021877,0.981580482588874,0.00695321595559668,297
mu_bod_VR19,-0.18659272717266548,1.8801542171617833,0.06445045446091127,82
mu_bod_VR2,-0.05233662032696884,-3.2204569671303034,0.48141549597494304,128
mu_bod_VR20,-0.060063904682795204,1.8495478973388673,-0.013430197783435384,375
mu_bod_VR21,-0.17466631895580956,2.416711995767993,-0.08580275200841617,129
mu_bod_VR22,-0.04911221485158915,2.7924721108154116,-0.21222331652368617,341
mu_bod_VR23,-0.12052034440760812,3.394172497590383,-0.13318390586258222,240
mu_bod_VR24,-0.035157828040322976,3.5907967929777347,-0.15850559664326475,304
mu_bod_VR3,-0.12376291219328271,-2.8883655305768623,0.40252876135169485,61
mu_bod_VR4,-0.05578368731209489,-2.9010678275686796,0.36107837933985915,61
mu_bod_VR5,-0.14996745936572553,-2.443420338630676,0.21133545272052287,100
mu_bod_VR6,-0.05789918121364382,-2.656235797064645,0.26262848173815107,63
mu_bod_VR7,-0.18261471390724182,-1.9226823990372406,-0.1052490459680129,87
mu_bod_VR8,-0.06940857208326083,-2.2335238416655723,0.03066518805831076,119
mu_bod_VR9,-0.12023882666131952,-1.3717052261907976,-0.44943367616160884,273
mu_int_L,0.09774382783619401,3.494630979803892,-0.07546228779448519,208
mu_int_R,-0.013631476409500465,3.4991012811660767,-0.07435000935968544,210
NSML,-0.014876470658928156,-2.832150628566742,0.4889088922739029,100
NSMR,-0.022464603111147882,-2.832150640487671,0.48890882134437563,100
OLLL,0.041052290867712046,-2.8958926426397786,0.4966756675291706,148
OLLR,-0.0837705318841177,-2.8958929068333394,0.4966757039766054,148
OLLshL,0.04294497271933194,-3.219899547951562,0.5603657024247306,56
OLLshR,-0.0856632050126791,-3.21989973953792,0.5603656555925097,56
OLLsoL,0.05703605565109423,-3.1267435678413937,0.5526036705289569,56
OLLsoR,-0.09975432165499244,-3.1267434699194774,0.5526037003312793,56
OLQDL,0.02592228354886174,-2.916093728542328,0.5450374588370324,100
OLQDR,-0.06864051695913076,-2.916093637943268,0.5450374883413315,100
OLQshDL,0.03773570878963385,-3.083712714059012,0.5855458485228675,56
OLQshDR,-0.0804539644824607,-3.0837126118796214,0.5855459177068302,56
OLQshVL,0.025451638301213584,-3.2117273012797036,0.5161580408612887,60
OLQshVR,-0.06823439796765646,-3.211736762523651,0.5159112657109897,60
OLQsoDL,0.019742942777358823,-3.279611819320255,0.6092327419254515,36
OLQsoDR,-0.06246119437532292,-3.2796118921703763,0.6092326392730077,36
OLQsoVL,0.01797302584681246,-3.2457772890726724,0.5216830041673448,36
OLQsoVR,-0.06069126994245582,-3.2457772625817194,0.5216830513543553,36
OLQVL,0.03188261979569992,-2.965310908499218,0.4669252158630462,84
OLQVR,-0.07460088327172257,-2.9653109453973316,0.46692523998873575,84
Oocyte_Ant_1,0.07826218785097201,-0.6933937966823578,-0.5052725300192833,24
Oocyte_Ant_10,0.06776660758381088,-2.0793838500976562,0.06805965925256412,24
Oocyte_Ant_2,0.08333336158345143,-0.8571461488803228,-0.5062374124924341,24
Oocyte_Ant_3,0.08819062355905771,-1.0139920338988304,-0.48687655478715897,24
Oocyte_Ant_4,0.08256855234503746,-1.1614886969327927,-0.446076179544131,24
Oocyte_Ant_5,0.08148820574084918,-1.2953515648841858,-0.3852670614918073,24
Oocyte_Ant_6,0.07663279973591368,-1.4561638484398525,-0.31221590129037696,24
Oocyte_Ant_7,0.07815038847426574,-1.6510545710722606,-0.20922473010917506,24
Oocyte_Ant_8,0.07629811282580097,-1.8221621016661327,-0.10707822923238079,24
Oocyte_Ant_9,0.07282858916247885,-1.9577960819005966,-0.018592503232260544,24
