mesh,x,y,z
ADFL,-0.007560195866972208,-2.754893481731415,0.530913770198822
ADFL,-0.007250200025737286,-2.7535150051116943,0.5325792580842972
ADFL,-0.00787019170820713,-2.7531705498695374,0.5296077877283096
ADFL,0.016686828341335058,-2.7513266801834106,0.5182775110006332
ADFL,0.018312739208340645,-2.7516502141952515,0.5208216607570648
ADFL,0.01747356727719307,-2.7530137300491333,0.5193767547607422
ADFL,0.017526000272482634,-2.749963164329529,0.5197224169969559
ADFL,0.03678966034203768,-2.7468204498291016,0.49822333455085754
ADFL,0.03662958974018693,-2.749756872653961,0.4979313015937805
ADFL,0.03785328287631273,-2.748444378376007,0.49894900619983673
ADFL,0.035565967205911875,-2.7481329441070557,0.49720562994480133
ADFL,0.04576748702675104,-2.7441729307174683,0.4697358310222626
ADFL,0.04846035782247782,-2.7444722056388855,0.47027314454317093
ADFL,0.04698408022522926,-2.745733678340912,0.4699127525091171
ADFL,0.047243764623999596,-2.742911458015442,0.4700962230563164
ADFL,0.04743613209575415,-2.7385255098342896,0.43975771963596344
ADFL,0.04712302703410387,-2.7413476705551147,0.43972597271203995
ADFL,0.048570835031569004,-2.7400861978530884,0.4393181577324867
ADFL,0.04598832409828901,-2.739786982536316,0.44016553461551666
ADFL,0.0359164709225297,-2.7359114289283752,0.41253001242876053
ADFL,0.037823842372745275,-2.7359862327575684,0.41052743047475815
ADFL,0.03672232944518328,-2.737356424331665,0.4114588275551796
ADFL,0.037017983850091696,-2.7345412373542786,0.4115986153483391
ADFL,0.01783332647755742,-2.7314032912254333,0.3899006247520447
ADFL,0.017526137176901102,-2.734211504459381,0.3896031752228737
ADFL,0.018251844681799412,-2.732732594013214,0.38846631348133087
ADFL,0.01710761897265911,-2.7328822016716003,0.3910374864935875
ADFL,-0.0029777195304632187,-2.731223464012146,0.3792874589562416
ADFL,-0.0014078137464821339,-2.7310743927955627,0.3771151155233383
ADFL,-0.0022485977970063686,-2.7325602173805237,0.3781154006719589
ADFL,-0.002136935479938984,-2.729737639427185,0.378287173807621
ADFL,0.07520259916782379,-2.981651782989502,0.5300426632165909
ADFL,0.07721155881881714,-2.981651723384857,0.5280337035655975
ADFL,0.07922051846981049,-2.981651723384857,0.5300426632165909
ADFL,0.07721155881881714,-2.981651782989502,0.5320516228675842
ADFL,0.07702194154262543,-2.948763608932495,0.5240248441696167
ADFL,0.07903090119361877,-2.948763608932495,0.5220158696174622
ADFL,0.08103986084461212,-2.948763608932495,0.5240248441696167
ADFL,0.07903090119361877,-2.948763608932495,0.5260338187217712
ADFL,0.07665175944566727,-2.9103851318359375,0.5175320208072662
ADFL,0.07866071909666061,-2.9103851318359375,0.5155230611562729
ADFL,0.07665175944566727,-2.9103851318359375,0.5135141015052795
ADFL,0.07464279979467392,-2.9103851318359375,0.5155230611562729
ADFL,0.06853469647467136,-3.021677315235138,0.5386292338371277
ADFL,0.07054365426301956,-3.0216771960258484,0.5366202741861343
ADFL,0.06853469647467136,-3.021677255630493,0.534611314535141
ADFL,0.06652573868632317,-3.0216773748397827,0.5366202741861343
ADFL,0.053790345788002014,-3.1235605478286743,0.5504752546548843
ADFL,0.05579930171370506,-3.1236528754234314,0.5484705418348312
ADFL,0.05780825763940811,-3.1235604286193848,0.5504752397537231
ADFL,0.05579930171370506,-3.1234681010246277,0.5524799525737762
ADFL,0.04026491893455386,-3.2603315114974976,0.568346381187439
ADFL,0.0422738753259182,-3.260516345500946,0.5663459300994873
ADFL,0.04026491893455386,-3.2607011795043945,0.5643454939126968
ADFL,0.038255962543189526,-3.260516345500946,0.5663459450006485
ADFL,0.024583516642451286,-3.3456376791000366,0.5752193182706833
ADFL,0.026592472568154335,-3.345822513103485,0.5732188820838928
ADFL,0.028601428493857384,-3.345637559890747,0.5752193182706833
ADFL,0.026592472568154335,-3.3454527258872986,0.5772197544574738
ADFL,0.017830421682447195,-3.3996455669403076,0.5838022530078888
ADFL,0.01983937807381153,-3.3998303413391113,0.5818018317222595
ADFL,0.017830421682447195,-3.4000152945518494,0.5798014104366302
ADFL,0.01582146529108286,-3.3998305201530457,0.5818018317222595
ADFL,0.007996467873454094,-3.457081913948059,0.5875319838523865
ADFL,0.01000542426481843,-3.457266688346863,0.5855315625667572
