mesh,vid,x,y,z
ADER,94,-0.1432783454656601,-2.4176011085510254,0.311517596244812
ADER,95,-0.1432783454656601,-2.410914182662964,0.3303665518760681
ADER,96,-0.025364458560943604,-2.708752393722534,0.29914233088493347
ADER,97,-0.025364458560943604,-2.7066967487335205,0.3018270432949066
ADER,98,-0.02192796766757965,-2.7066967487335205,0.3018270432949066
ADER,99,-0.02192796766757965,-2.708752393722534,0.2991422414779663
ADER,100,-0.025364458560943604,-2.700307607650757,0.2895716428756714
ADER,101,-0.025364458560943604,-2.698251962661743,0.29225635528564453
ADER,102,-0.02192796766757965,-2.700307607650757,0.2895715534687042
ADER,103,-0.02192796766757965,-2.698251962661743,0.29225635528564453
ADER,104,-0.029860958456993103,-2.4397456645965576,0.14624884724617004
ADER,105,-0.12602101266384125,-2.4021804332733154,0.2526756823062897
ADER,106,-0.12624266743659973,-2.405397653579712,0.2529769539833069
ADER,107,-0.12363393604755402,-2.405397653579712,0.2548964321613312
ADER,108,-0.12341228127479553,-2.4021804332733154,0.25459519028663635
ADER,109,-0.07728230953216553,-2.409135103225708,0.18217524886131287
ADER,110,-0.0775645524263382,-2.4123523235321045,0.1824207305908203
ADER,111,-0.07543902844190598,-2.4123520851135254,0.18486444652080536
ADER,112,-0.0751567855477333,-2.409135103225708,0.18461894989013672
ADER,113,-0.03396438807249069,-2.4215714931488037,0.1514129638671875
ADER,114,-0.03565976023674011,-2.424330949783325,0.15144997835159302
ADER,115,-0.033673517405986786,-2.4217069149017334,0.15463581681251526
ADER,116,-0.035368889570236206,-2.424466133117676,0.15467289090156555
ADER,117,-0.0277850478887558,-2.4287073612213135,0.1514129489660263
ADER,118,-0.03080657124519348,-2.42987322807312,0.1514499932527542
ADER,119,-0.030657343566417694,-2.43015718460083,0.15467289090156555
ADER,120,-0.02763587236404419,-2.4289913177490234,0.15463583171367645
ADER,121,-0.0265616774559021,-2.439746141433716,0.14626659452915192
ADER,122,-0.02975967526435852,-2.4394478797912598,0.14953209459781647
ADER,123,-0.026521265506744385,-2.439420223236084,0.14948871731758118
ADER,124,-0.02696193754673004,-2.4788906574249268,0.17534630000591278
ADER,125,-0.03034336119890213,-2.4788906574249268,0.17534631490707397
ADER,126,-0.02696193754673004,-2.4792985916137695,0.1719895899295807
ADER,127,-0.03034336119890213,-2.4792985916137695,0.1719895899295807
ADER,128,-0.02536451816558838,-2.6693437099456787,0.2501629590988159
ADER,129,-0.021928012371063232,-2.6693437099456787,0.25016289949417114
ADER,130,-0.02536451816558838,-2.667288064956665,0.25284770131111145
ADER,131,-0.021928012371063232,-2.667288064956665,0.25284767150878906
ADFL,0,-0.01893862709403038,-2.726310968399048,0.359313428401947
ADFL,1,-0.0188472680747509,-2.72965407371521,0.3595712184906006
ADFL,2,-0.016066774725914,-2.7266685962677,0.35946711897850037
ADFL,3,0.035403650254011154,-2.6518938541412354,0.30746808648109436
ADFL,4,0.035403650254011154,-2.655508041381836,0.3076323866844177
ADFL,5,0.03902151435613632,-2.6518938541412354,0.30746808648109436
ADFL,6,0.03902151435613632,-2.655508041381836,0.3076323866844177
ADFL,7,0.03389031067490578,-2.654484987258911,0.29935142397880554
ADFL,8,0.03399202227592468,-2.6580991744995117,0.2994804382324219
ADFL,9,0.036731451749801636,-2.654484987258911,0.2971116006374359
ADFL,10,0.03683316335082054,-2.6580991744995117,0.29724058508872986
ADFL,11,-0.010894645005464554,-2.674253225326538,0.26678892970085144
ADFL,12,-0.009474851191043854,-2.6775808334350586,0.2667904198169708
ADFL,13,-0.010863121598958969,-2.674241542816162,0.2631712257862091
ADFL,14,-0.009443335235118866,-2.6775691509246826,0.2631727457046509
ADFL,15,-0.01614340767264366,-2.6884937286376953,0.2764131426811218
ADFL,16,-0.019746236503124237,-2.688255786895752,0.2761853039264679
ADFL,17,-0.01974165439605713,-2.690721273422241,0.27353760600090027
ADFL,18,-0.016138818114995956,-2.6909592151641846,0.2737654447555542
ADFL,19,-0.01614340767264366,-2.7112104892730713,0.30618056654930115
ADFL,20,-0.019746236503124237,-2.7110159397125244,0.3059147298336029
ADFL,21,-0.016138818114995956,-2.714099884033203,0.3040033280849457
ADFL,22,-0.01974165067076683,-2.7139053344726562,0.30373746156692505
ADFL,23,-0.016138818114995956,-2.7298989295959473,0.35964348912239075
ADFL,24,-0.02108391374349594,-2.751926898956299,0.5326582193374634
ADFL,25,-0.02108391374349594,-2.7550792694091797,0.5322928428649902
ADFL,26,-0.02108391374349594,-2.7522923946380615,0.5358104109764099
ADFL,27,-0.02108391374349594,-2.7554445266723633,0.535444974899292
ADFL,28,0.00658351369202137,-2.7546868324279785,0.5293540358543396
