genotype,date,recording_id,forward_run_speed_mm_s,reversal_rate_per_min,pirouette_rate_per_min
N2,20260129,N2##20260129,0.1591,0.0000,0.0000
N2,20260129,N2##20260129,0.1534,0.3606,0.7212
N2,20260129,N2##20260129,0.1281,6.0262,3.9301
N2,20260129,N2##20260129,0.1650,0.0000,0.0000
N2,20260129,N2##20260129,0.1789,0.0000,0.0000
N2,20260129,N2##20260129,0.1547,0.0000,0.0000
N2,20260129,N2##20260129,0.1679,0.0000,0.0000
N2,20260129,N2##20260129,0.1307,0.0000,0.0000
N2,20260129,N2##20260129,0.1683,0.0000,0.0000
N2,20260129,N2##20260129,0.2405,0.7692,0.0000
N2,20260129,N2##20260129,,13.7931,8.6207
N2,20260129,N2##20260129,0.1659,0.0000,0.0000
N2,20260129,N2##20260129,0.1729,0.0000,0.0000
N2,20260129,N2##20260129,0.1329,0.0000,0.0000
N2,20260129,N2##20260129,0.1130,0.0000,0.0000
N2,20260129,N2##20260129,0.1584,0.0000,0.0000
N2,20260129,N2##20260129,0.1357,0.0000,0.0000
N2,20260129,N2##20260129,0.1209,0.6030,0.0000
N2,20260129,N2##20260129,0.0751,8.1335,0.9385
N2,20260129,N2##20260129,0.1607,5.0000,10.0000
N2,20260129,N2##20260129,0.1878,1.5248,0.3812
N2,20260129,N2##20260129,0.1429,0.0000,3.3040
N2,20260129,N2##20260129,0.2215,1.4797,0.7398
N2,20260129,N2##20260129,0.1470,0.6030,0.0000
N2,20260129,N2##20260129,0.1613,0.0000,0.3582
N2,20260129,N2##20260129,0.1750,0.0000,0.7634
N2,20260129,N2##20260129,0.0943,1.9868,1.9868
N2,20260129,N2##20260129,0.1281,0.0000,1.5894
N2,20260129,N2##20260129,0.1559,0.0000,0.9146
N2,20260129,N2##20260129,0.1730,0.8772,0.8772
N2,20260129,N2##20260129,0.1011,4.6332,2.3166
N2,20260129,N2##20260129,0.2356,2.5862,0.0000
N2,20260129,N2##20260129,0.1153,0.0000,0.0000
N2,20260129,N2##20260129,0.1625,0.0000,0.0000
N2,20260129,N2##20260129,0.1033,0.0000,0.0000
N2,20260129,N2##20260129,0.1644,0.0000,0.0000
N2,20260129,N2##20260129,0.1410,1.3889,2.7778
N2,20260129,N2##20260129,0.1705,0.0000,0.0000
N2,20260129,N2##20260129,0.1799,0.0000,0.0000
N2,20260129,N2##20260129,0.2203,0.0000,0.0000
N2,20260129,N2##20260129,0.1599,0.7989,1.5979
N2,20260129,N2##20260129,0.1597,0.0000,0.0000
N2,20260129,N2##20260129,0.1338,0.9934,0.0000
N2,20260129,N2##20260129,0.2213,0.0000,0.0000
N2,20260129,N2##20260129,0.2402,0.0000,0.0000
N2,20260129,N2##20260129,0.0782,0.0000,0.0000
N2,20260129,N2##20260129,0.1860,0.0000,0.0000
N2,20260129,N2##20260129,0.2010,7.1429,3.5714
N2,20260129,N2##20260129,0.1540,2.0979,2.0979
N2,20260129,N2##20260129,0.1490,0.0000,0.0000
N2,20260129,N2##20260129,0.2360,0.0000,0.0000
N2,20260129,N2##20260129,0.1888,0.0000,0.0000
N2,20260129,N2##20260129,0.0769,6.2500,0.0000
N2,20260129,N2##20260129,0.1312,0.0000,2.7088
N2,20260129,N2##20260129,0.0664,0.0000,0.0000
N2,20260129,N2##20260129,0.1626,0.0000,0.0000
N2,20260129,N2##20260129,0.1373,0.0000,0.0000
N2,20260129,N2##20260129,0.1029,0.0000,0.0000
N2,20260129,N2##20260129,0.1049,0.0000,0.0000
N2,20260129,N2##20260129,0.1779,0.0000,0.0000
N2,20260202,N2##20260202,0.1616,0.0000,0.0000
N2,20260202,N2##20260202,0.1384,21.4286,0.0000
N2,20260202,N2##20260202,0.1873,0.0000,0.9231
N2,20260202,N2##20260202,0.1233,0.0000,0.0000
N2,20260202,N2##20260202,0.1830,0.0000,0.0000
N2,20260202,N2##20260202,0.1752,0.6073,1.2146
N2,20260202,N2##20260202,0.1777,0.0000,0.0000
N2,20260202,N2##20260202,0.1931,0.0000,0.0000
N2,20260202,N2##20260202,0.1700,0.0000,0.0000
N2,20260202,N2##20260202,0.1668,0.0000,0.0000
N2,20260202,N2##20260202,0.1939,0.0000,0.0000
N2,20260202,N2##20260202,0.0912,1.9544,2.6059
N2,20260202,N2##20260202,0.0848,0.0000,0.0000
N2,20260202,N2##20260202,0.2041,0.0000,0.0000
N2,20260202,N2##20260202,0.1825,3.0038,1.5019
N2,20260202,N2##20260202,0.1687,1.2987,0.0000
N2,20260202,N2##20260202,0.1924,0.0000,0.0000
N2,20260202,N2##20260202,0.1613,0.0000,0.0000
N2,20260202,N2##20260202,0.1227,0.0000,0.0000
N2,20260202,N2##20260202,0.1726,0.0000,0.0000
N2,20260202,N2##20260202,0.1571,4.1379,2.0690
N2,20260202,N2##20260202,0.1733,0.0000,0.0000
